vocabulary size: 212
n tunes: 89927
n train tunes: 85447.0
n validation tunes: 4480.0
min, max length 2 1998
Building the model
  number of parameters: 5839972
  layer output shapes:               #params:   output shape:
    InputLayer                       0          (64, None)
    EmbeddingLayer                   44944      (64, None, 212)
    InputLayer                       0          (64, None)
    LSTMLayer                        1485824    (64, None, 512)
    DropoutLayer                     0          (64, None, 512)
    LSTMLayer                        2100224    (64, None, 512)
    DropoutLayer                     0          (64, None, 512)
    LSTMLayer                        2100224    (64, None, 512)
    DropoutLayer                     0          (64, None, 512)
    ReshapeLayer                     0          (None, 512)
    DenseLayer                       108756     (None, 212)
Train model
Load metadata for resuming
setting learning rate to 0.0004973
106801/133510 (epoch 79.994) train_loss=296.27795410 time/batch=1.34s
106802/133510 (epoch 79.995) train_loss=279.00793457 time/batch=0.97s
106803/133510 (epoch 79.996) train_loss=869.44189453 time/batch=2.41s
106804/133510 (epoch 79.996) train_loss=359.89862061 time/batch=1.41s
106805/133510 (epoch 79.997) train_loss=93.35076141 time/batch=0.40s
106806/133510 (epoch 79.998) train_loss=2035.14892578 time/batch=6.87s
106807/133510 (epoch 79.999) train_loss=142.51000977 time/batch=1.59s
106808/133510 (epoch 79.999) train_loss=565.21826172 time/batch=1.62s
106809/133510 (epoch 80.000) train_loss=516.94488525 time/batch=1.71s
106810/133510 (epoch 80.001) train_loss=304.14355469 time/batch=1.20s
106811/133510 (epoch 80.002) train_loss=309.53378296 time/batch=1.10s
106812/133510 (epoch 80.002) train_loss=175.65475464 time/batch=0.82s
106813/133510 (epoch 80.003) train_loss=318.37554932 time/batch=1.02s
106814/133510 (epoch 80.004) train_loss=100.31037903 time/batch=0.48s
106815/133510 (epoch 80.005) train_loss=88.75595856 time/batch=0.29s
106816/133510 (epoch 80.005) train_loss=460.23181152 time/batch=1.41s
106817/133510 (epoch 80.006) train_loss=576.09484863 time/batch=1.90s
106818/133510 (epoch 80.007) train_loss=560.78417969 time/batch=1.97s
106819/133510 (epoch 80.008) train_loss=99.26664734 time/batch=0.66s
106820/133510 (epoch 80.008) train_loss=86.41271973 time/batch=0.46s
106821/133510 (epoch 80.009) train_loss=1021.80639648 time/batch=2.90s
106822/133510 (epoch 80.010) train_loss=951.02575684 time/batch=3.34s
106823/133510 (epoch 80.011) train_loss=123.94363403 time/batch=0.93s
106824/133510 (epoch 80.011) train_loss=520.39508057 time/batch=1.64s
106825/133510 (epoch 80.012) train_loss=448.39996338 time/batch=1.52s
106826/133510 (epoch 80.013) train_loss=123.16445160 time/batch=0.69s
106827/133510 (epoch 80.014) train_loss=539.96252441 time/batch=1.58s
106828/133510 (epoch 80.014) train_loss=641.79541016 time/batch=2.16s
106829/133510 (epoch 80.015) train_loss=726.69757080 time/batch=2.28s
106830/133510 (epoch 80.016) train_loss=117.79908752 time/batch=0.77s
106831/133510 (epoch 80.017) train_loss=181.31452942 time/batch=0.67s
106832/133510 (epoch 80.017) train_loss=449.09753418 time/batch=1.48s
106833/133510 (epoch 80.018) train_loss=343.84643555 time/batch=1.34s
106834/133510 (epoch 80.019) train_loss=393.61535645 time/batch=1.33s
106835/133510 (epoch 80.020) train_loss=142.48611450 time/batch=0.73s
106836/133510 (epoch 80.020) train_loss=219.53826904 time/batch=0.80s
106837/133510 (epoch 80.021) train_loss=111.71452332 time/batch=0.61s
106838/133510 (epoch 80.022) train_loss=282.55264282 time/batch=1.10s
106839/133510 (epoch 80.023) train_loss=446.00592041 time/batch=1.56s
106840/133510 (epoch 80.023) train_loss=81.75904083 time/batch=0.47s
106841/133510 (epoch 80.024) train_loss=97.03686523 time/batch=0.42s
106842/133510 (epoch 80.025) train_loss=804.67089844 time/batch=2.32s
106843/133510 (epoch 80.026) train_loss=1077.10302734 time/batch=3.52s
106844/133510 (epoch 80.026) train_loss=278.50909424 time/batch=1.41s
106845/133510 (epoch 80.027) train_loss=302.00787354 time/batch=1.29s
106846/133510 (epoch 80.028) train_loss=174.08303833 time/batch=0.79s
106847/133510 (epoch 80.029) train_loss=220.47000122 time/batch=0.84s
106848/133510 (epoch 80.029) train_loss=944.98333740 time/batch=3.50s
106849/133510 (epoch 80.030) train_loss=329.75323486 time/batch=1.75s
106850/133510 (epoch 80.031) train_loss=382.09295654 time/batch=1.24s
106851/133510 (epoch 80.032) train_loss=281.02197266 time/batch=1.15s
106852/133510 (epoch 80.032) train_loss=632.87231445 time/batch=2.16s
106853/133510 (epoch 80.033) train_loss=240.36483765 time/batch=1.14s
106854/133510 (epoch 80.034) train_loss=191.13922119 time/batch=0.76s
106855/133510 (epoch 80.035) train_loss=245.63827515 time/batch=0.82s
106856/133510 (epoch 80.035) train_loss=941.84167480 time/batch=3.82s
106857/133510 (epoch 80.036) train_loss=441.40328979 time/batch=1.90s
106858/133510 (epoch 80.037) train_loss=225.08709717 time/batch=0.99s
106859/133510 (epoch 80.038) train_loss=539.55102539 time/batch=1.71s
106860/133510 (epoch 80.038) train_loss=99.00286865 time/batch=0.68s
106861/133510 (epoch 80.039) train_loss=412.05322266 time/batch=1.30s
106862/133510 (epoch 80.040) train_loss=795.60900879 time/batch=4.40s
106863/133510 (epoch 80.041) train_loss=579.94128418 time/batch=2.38s
106864/133510 (epoch 80.041) train_loss=101.25218201 time/batch=0.65s
106865/133510 (epoch 80.042) train_loss=489.98471069 time/batch=1.56s
106866/133510 (epoch 80.043) train_loss=344.57391357 time/batch=1.39s
106867/133510 (epoch 80.044) train_loss=472.35382080 time/batch=1.77s
106868/133510 (epoch 80.044) train_loss=214.22546387 time/batch=0.96s
106869/133510 (epoch 80.045) train_loss=565.39050293 time/batch=1.89s
106870/133510 (epoch 80.046) train_loss=129.19151306 time/batch=0.75s
106871/133510 (epoch 80.047) train_loss=454.25222778 time/batch=1.35s
106872/133510 (epoch 80.047) train_loss=387.04473877 time/batch=1.37s
106873/133510 (epoch 80.048) train_loss=168.21710205 time/batch=0.78s
106874/133510 (epoch 80.049) train_loss=120.75346375 time/batch=0.55s
106875/133510 (epoch 80.050) train_loss=554.30828857 time/batch=1.67s
106876/133510 (epoch 80.050) train_loss=514.83288574 time/batch=1.68s
106877/133510 (epoch 80.051) train_loss=157.22195435 time/batch=0.83s
106878/133510 (epoch 80.052) train_loss=240.12260437 time/batch=0.86s
106879/133510 (epoch 80.053) train_loss=183.76947021 time/batch=0.76s
106880/133510 (epoch 80.053) train_loss=91.44564819 time/batch=0.40s
106881/133510 (epoch 80.054) train_loss=241.86436462 time/batch=0.84s
106882/133510 (epoch 80.055) train_loss=365.29949951 time/batch=1.29s
106883/133510 (epoch 80.056) train_loss=91.44854736 time/batch=0.54s
106884/133510 (epoch 80.056) train_loss=415.18792725 time/batch=1.37s
106885/133510 (epoch 80.057) train_loss=293.28729248 time/batch=1.14s
106886/133510 (epoch 80.058) train_loss=285.56616211 time/batch=1.15s
106887/133510 (epoch 80.059) train_loss=129.62362671 time/batch=0.66s
106888/133510 (epoch 80.059) train_loss=113.74045563 time/batch=0.49s
106889/133510 (epoch 80.060) train_loss=72.29950714 time/batch=0.27s
106890/133510 (epoch 80.061) train_loss=271.12561035 time/batch=0.91s
106891/133510 (epoch 80.062) train_loss=86.76260376 time/batch=0.37s
106892/133510 (epoch 80.062) train_loss=82.27399445 time/batch=0.43s
106893/133510 (epoch 80.063) train_loss=199.02285767 time/batch=0.72s
106894/133510 (epoch 80.064) train_loss=444.62762451 time/batch=1.32s
106895/133510 (epoch 80.065) train_loss=282.47100830 time/batch=1.07s
106896/133510 (epoch 80.065) train_loss=80.88364410 time/batch=0.34s
106897/133510 (epoch 80.066) train_loss=127.29931641 time/batch=0.53s
106898/133510 (epoch 80.067) train_loss=265.62783813 time/batch=0.92s
106899/133510 (epoch 80.068) train_loss=249.59477234 time/batch=1.00s
106900/133510 (epoch 80.068) train_loss=99.13680267 time/batch=0.48s
106901/133510 (epoch 80.069) train_loss=379.86560059 time/batch=1.15s
106902/133510 (epoch 80.070) train_loss=347.73199463 time/batch=1.26s
106903/133510 (epoch 80.071) train_loss=77.02328491 time/batch=0.45s
106904/133510 (epoch 80.071) train_loss=338.79605103 time/batch=1.15s
106905/133510 (epoch 80.072) train_loss=86.62959290 time/batch=0.47s
106906/133510 (epoch 80.073) train_loss=282.56085205 time/batch=1.07s
106907/133510 (epoch 80.074) train_loss=342.03549194 time/batch=1.29s
106908/133510 (epoch 80.074) train_loss=174.31823730 time/batch=0.82s
106909/133510 (epoch 80.075) train_loss=95.67747498 time/batch=0.50s
106910/133510 (epoch 80.076) train_loss=341.44546509 time/batch=1.09s
106911/133510 (epoch 80.077) train_loss=423.66455078 time/batch=1.35s
106912/133510 (epoch 80.077) train_loss=211.38912964 time/batch=0.93s
106913/133510 (epoch 80.078) train_loss=123.46373749 time/batch=0.55s
106914/133510 (epoch 80.079) train_loss=214.63858032 time/batch=0.85s
106915/133510 (epoch 80.080) train_loss=112.67910767 time/batch=0.63s
106916/133510 (epoch 80.080) train_loss=173.83668518 time/batch=0.74s
106917/133510 (epoch 80.081) train_loss=239.28045654 time/batch=1.12s
106918/133510 (epoch 80.082) train_loss=331.90408325 time/batch=1.23s
106919/133510 (epoch 80.083) train_loss=210.37905884 time/batch=0.94s
106920/133510 (epoch 80.083) train_loss=222.30651855 time/batch=0.92s
106921/133510 (epoch 80.084) train_loss=216.07748413 time/batch=0.90s
106922/133510 (epoch 80.085) train_loss=347.61584473 time/batch=1.35s
106923/133510 (epoch 80.086) train_loss=148.60644531 time/batch=0.74s
106924/133510 (epoch 80.086) train_loss=88.22360229 time/batch=0.37s
106925/133510 (epoch 80.087) train_loss=99.92002869 time/batch=0.42s
106926/133510 (epoch 80.088) train_loss=308.05740356 time/batch=1.02s
106927/133510 (epoch 80.089) train_loss=68.56296539 time/batch=0.36s
106928/133510 (epoch 80.089) train_loss=128.16249084 time/batch=0.52s
106929/133510 (epoch 80.090) train_loss=171.63520813 time/batch=0.71s
106930/133510 (epoch 80.091) train_loss=450.79699707 time/batch=1.44s
106931/133510 (epoch 80.092) train_loss=281.44702148 time/batch=1.19s
106932/133510 (epoch 80.092) train_loss=196.39352417 time/batch=0.91s
106933/133510 (epoch 80.093) train_loss=134.84799194 time/batch=0.60s
106934/133510 (epoch 80.094) train_loss=236.84869385 time/batch=0.90s
106935/133510 (epoch 80.095) train_loss=419.54592896 time/batch=1.37s
106936/133510 (epoch 80.095) train_loss=467.74365234 time/batch=1.50s
106937/133510 (epoch 80.096) train_loss=82.60980225 time/batch=0.51s
106938/133510 (epoch 80.097) train_loss=210.23330688 time/batch=0.78s
106939/133510 (epoch 80.098) train_loss=79.73767853 time/batch=0.42s
106940/133510 (epoch 80.098) train_loss=449.82452393 time/batch=1.30s
106941/133510 (epoch 80.099) train_loss=222.07112122 time/batch=0.96s
106942/133510 (epoch 80.100) train_loss=313.75799561 time/batch=1.14s
106943/133510 (epoch 80.101) train_loss=216.65676880 time/batch=0.92s
106944/133510 (epoch 80.101) train_loss=174.09036255 time/batch=0.78s
106945/133510 (epoch 80.102) train_loss=322.72174072 time/batch=1.20s
106946/133510 (epoch 80.103) train_loss=263.07974243 time/batch=1.03s
106947/133510 (epoch 80.104) train_loss=191.11912537 time/batch=0.83s
106948/133510 (epoch 80.104) train_loss=100.64366150 time/batch=0.52s
106949/133510 (epoch 80.105) train_loss=184.18467712 time/batch=0.72s
106950/133510 (epoch 80.106) train_loss=301.48727417 time/batch=1.13s
106951/133510 (epoch 80.107) train_loss=131.94598389 time/batch=0.63s
106952/133510 (epoch 80.107) train_loss=166.56965637 time/batch=0.68s
106953/133510 (epoch 80.108) train_loss=197.15672302 time/batch=0.84s
106954/133510 (epoch 80.109) train_loss=178.05664062 time/batch=0.77s
106955/133510 (epoch 80.110) train_loss=208.57948303 time/batch=0.83s
106956/133510 (epoch 80.110) train_loss=504.47128296 time/batch=1.56s
106957/133510 (epoch 80.111) train_loss=153.06597900 time/batch=0.76s
106958/133510 (epoch 80.112) train_loss=112.73214722 time/batch=0.53s
106959/133510 (epoch 80.113) train_loss=339.14721680 time/batch=1.01s
106960/133510 (epoch 80.113) train_loss=264.24468994 time/batch=0.97s
106961/133510 (epoch 80.114) train_loss=266.97467041 time/batch=0.97s
106962/133510 (epoch 80.115) train_loss=109.58506775 time/batch=0.57s
106963/133510 (epoch 80.116) train_loss=390.90582275 time/batch=1.22s
106964/133510 (epoch 80.116) train_loss=177.34228516 time/batch=0.85s
106965/133510 (epoch 80.117) train_loss=85.66497803 time/batch=0.41s
106966/133510 (epoch 80.118) train_loss=93.75738525 time/batch=0.35s
106967/133510 (epoch 80.119) train_loss=147.83528137 time/batch=0.61s
106968/133510 (epoch 80.119) train_loss=62.85839844 time/batch=0.27s
106969/133510 (epoch 80.120) train_loss=89.05670166 time/batch=0.27s
106970/133510 (epoch 80.121) train_loss=121.62610626 time/batch=0.51s
106971/133510 (epoch 80.122) train_loss=345.90368652 time/batch=1.17s
106972/133510 (epoch 80.122) train_loss=235.13591003 time/batch=0.99s
106973/133510 (epoch 80.123) train_loss=390.97335815 time/batch=1.39s
106974/133510 (epoch 80.124) train_loss=216.25897217 time/batch=0.99s
106975/133510 (epoch 80.125) train_loss=184.58187866 time/batch=0.85s
106976/133510 (epoch 80.125) train_loss=276.84454346 time/batch=1.04s
106977/133510 (epoch 80.126) train_loss=398.04718018 time/batch=1.33s
106978/133510 (epoch 80.127) train_loss=169.16482544 time/batch=0.87s
106979/133510 (epoch 80.128) train_loss=107.07972717 time/batch=0.52s
106980/133510 (epoch 80.128) train_loss=322.73287964 time/batch=1.15s
106981/133510 (epoch 80.129) train_loss=282.58081055 time/batch=1.14s
106982/133510 (epoch 80.130) train_loss=100.53150177 time/batch=0.48s
106983/133510 (epoch 80.131) train_loss=77.85699463 time/batch=0.21s
106984/133510 (epoch 80.131) train_loss=176.20166016 time/batch=0.56s
106985/133510 (epoch 80.132) train_loss=100.61840820 time/batch=0.32s
106986/133510 (epoch 80.133) train_loss=219.67327881 time/batch=0.75s
106987/133510 (epoch 80.134) train_loss=122.07823181 time/batch=0.58s
106988/133510 (epoch 80.134) train_loss=242.52023315 time/batch=0.89s
