vocabulary size: 223
n tunes: 26273
n train tunes: 24929.0
n validation tunes: 1344.0
min, max length 2 2000
Building the model
  number of parameters: 5872928
  layer output shapes:               #params:   output shape:
    InputLayer                       0          (64, None)
    EmbeddingLayer                   49729      (64, None, 223)
    InputLayer                       0          (64, None)
    LSTMLayer                        1508352    (64, None, 512)
    DropoutLayer                     0          (64, None, 512)
    LSTMLayer                        2100224    (64, None, 512)
    DropoutLayer                     0          (64, None, 512)
    LSTMLayer                        2100224    (64, None, 512)
    DropoutLayer                     0          (64, None, 512)
    ReshapeLayer                     0          (None, 512)
    DenseLayer                       114399     (None, 223)
Train model
Load metadata for resuming
setting learning rate to 0.0002705
38901/77903 (epoch 99.870) train_loss=182.20648193 time/batch=0.85s
38902/77903 (epoch 99.873) train_loss=605.14630127 time/batch=1.73s
38903/77903 (epoch 99.875) train_loss=260.60986328 time/batch=0.93s
38904/77903 (epoch 99.878) train_loss=485.88024902 time/batch=1.47s
38905/77903 (epoch 99.880) train_loss=228.28227234 time/batch=0.84s
38906/77903 (epoch 99.883) train_loss=205.81495667 time/batch=0.72s
38907/77903 (epoch 99.886) train_loss=680.93475342 time/batch=2.11s
38908/77903 (epoch 99.888) train_loss=632.87023926 time/batch=2.38s
38909/77903 (epoch 99.891) train_loss=963.80554199 time/batch=3.42s
38910/77903 (epoch 99.893) train_loss=141.79200745 time/batch=0.89s
38911/77903 (epoch 99.896) train_loss=455.40832520 time/batch=1.32s
38912/77903 (epoch 99.898) train_loss=185.10958862 time/batch=0.76s
38913/77903 (epoch 99.901) train_loss=529.27679443 time/batch=1.63s
38914/77903 (epoch 99.904) train_loss=118.23252869 time/batch=0.62s
38915/77903 (epoch 99.906) train_loss=376.37139893 time/batch=1.12s
38916/77903 (epoch 99.909) train_loss=316.23165894 time/batch=1.04s
38917/77903 (epoch 99.911) train_loss=112.44841003 time/batch=0.49s
38918/77903 (epoch 99.914) train_loss=370.01947021 time/batch=1.15s
38919/77903 (epoch 99.916) train_loss=464.69418335 time/batch=1.56s
38920/77903 (epoch 99.919) train_loss=161.34725952 time/batch=0.76s
38921/77903 (epoch 99.922) train_loss=758.12872314 time/batch=3.29s
38922/77903 (epoch 99.924) train_loss=161.96165466 time/batch=0.98s
38923/77903 (epoch 99.927) train_loss=357.60577393 time/batch=1.17s
38924/77903 (epoch 99.929) train_loss=273.39819336 time/batch=1.00s
38925/77903 (epoch 99.932) train_loss=269.17041016 time/batch=0.93s
38926/77903 (epoch 99.934) train_loss=333.82464600 time/batch=1.07s
38927/77903 (epoch 99.937) train_loss=244.51409912 time/batch=0.90s
38928/77903 (epoch 99.940) train_loss=144.84796143 time/batch=0.62s
38929/77903 (epoch 99.942) train_loss=287.39855957 time/batch=0.96s
38930/77903 (epoch 99.945) train_loss=675.16906738 time/batch=4.32s
38931/77903 (epoch 99.947) train_loss=472.98233032 time/batch=2.04s
38932/77903 (epoch 99.950) train_loss=141.00689697 time/batch=0.66s
38933/77903 (epoch 99.952) train_loss=96.78465271 time/batch=0.35s
38934/77903 (epoch 99.955) train_loss=196.13662720 time/batch=0.65s
38935/77903 (epoch 99.957) train_loss=146.29959106 time/batch=0.56s
38936/77903 (epoch 99.960) train_loss=113.02607727 time/batch=0.43s
38937/77903 (epoch 99.963) train_loss=413.77770996 time/batch=1.29s
38938/77903 (epoch 99.965) train_loss=217.38352966 time/batch=0.86s
38939/77903 (epoch 99.968) train_loss=95.16263580 time/batch=0.34s
38940/77903 (epoch 99.970) train_loss=242.58415222 time/batch=0.76s
38941/77903 (epoch 99.973) train_loss=806.20324707 time/batch=6.95s
38942/77903 (epoch 99.975) train_loss=320.26593018 time/batch=1.99s
38943/77903 (epoch 99.978) train_loss=173.39848328 time/batch=0.70s
38944/77903 (epoch 99.981) train_loss=256.05874634 time/batch=0.88s
38945/77903 (epoch 99.983) train_loss=315.80718994 time/batch=1.06s
38946/77903 (epoch 99.986) train_loss=109.89303589 time/batch=0.48s
38947/77903 (epoch 99.988) train_loss=156.43780518 time/batch=0.56s
38948/77903 (epoch 99.991) train_loss=169.92536926 time/batch=0.62s
38949/77903 (epoch 99.993) train_loss=198.82493591 time/batch=0.70s
38950/77903 (epoch 99.996) train_loss=101.03844452 time/batch=0.40s
38951/77903 (epoch 99.999) train_loss=141.96264648 time/batch=0.56s
38952/77903 (epoch 100.001) train_loss=309.42391968 time/batch=0.97s
38953/77903 (epoch 100.004) train_loss=80.86537170 time/batch=0.34s
38954/77903 (epoch 100.006) train_loss=110.41387939 time/batch=0.38s
38955/77903 (epoch 100.009) train_loss=75.98908234 time/batch=0.26s
38956/77903 (epoch 100.011) train_loss=72.17945862 time/batch=0.22s
38957/77903 (epoch 100.014) train_loss=118.45616150 time/batch=0.44s
38958/77903 (epoch 100.017) train_loss=157.00737000 time/batch=0.56s
38959/77903 (epoch 100.019) train_loss=95.17064667 time/batch=0.33s
38960/77903 (epoch 100.022) train_loss=176.75973511 time/batch=0.61s
38961/77903 (epoch 100.024) train_loss=210.89019775 time/batch=0.75s
38962/77903 (epoch 100.027) train_loss=130.74597168 time/batch=0.53s
38963/77903 (epoch 100.029) train_loss=155.98266602 time/batch=0.58s
38964/77903 (epoch 100.032) train_loss=217.88163757 time/batch=0.74s
38965/77903 (epoch 100.034) train_loss=282.28381348 time/batch=0.96s
38966/77903 (epoch 100.037) train_loss=382.36904907 time/batch=1.25s
38967/77903 (epoch 100.040) train_loss=408.34451294 time/batch=1.29s
38968/77903 (epoch 100.042) train_loss=173.85186768 time/batch=0.72s
38969/77903 (epoch 100.045) train_loss=322.05859375 time/batch=1.06s
38970/77903 (epoch 100.047) train_loss=178.97769165 time/batch=0.72s
38971/77903 (epoch 100.050) train_loss=93.91093445 time/batch=0.36s
38972/77903 (epoch 100.052) train_loss=244.97909546 time/batch=0.74s
38973/77903 (epoch 100.055) train_loss=168.79086304 time/batch=0.65s
38974/77903 (epoch 100.058) train_loss=237.18339539 time/batch=0.78s
38975/77903 (epoch 100.060) train_loss=164.77886963 time/batch=0.68s
38976/77903 (epoch 100.063) train_loss=163.29641724 time/batch=0.61s
38977/77903 (epoch 100.065) train_loss=87.99194336 time/batch=0.29s
38978/77903 (epoch 100.068) train_loss=318.06628418 time/batch=0.94s
38979/77903 (epoch 100.070) train_loss=114.19812775 time/batch=0.51s
38980/77903 (epoch 100.073) train_loss=170.66854858 time/batch=0.62s
38981/77903 (epoch 100.076) train_loss=150.53369141 time/batch=0.59s
38982/77903 (epoch 100.078) train_loss=206.37080383 time/batch=0.72s
38983/77903 (epoch 100.081) train_loss=114.83210754 time/batch=0.45s
38984/77903 (epoch 100.083) train_loss=193.13452148 time/batch=0.67s
38985/77903 (epoch 100.086) train_loss=161.82946777 time/batch=0.63s
38986/77903 (epoch 100.088) train_loss=258.24798584 time/batch=0.86s
38987/77903 (epoch 100.091) train_loss=128.91587830 time/batch=0.54s
38988/77903 (epoch 100.094) train_loss=403.75549316 time/batch=1.26s
38989/77903 (epoch 100.096) train_loss=113.89372253 time/batch=0.55s
38990/77903 (epoch 100.099) train_loss=95.66431427 time/batch=0.29s
38991/77903 (epoch 100.101) train_loss=145.24494934 time/batch=0.49s
38992/77903 (epoch 100.104) train_loss=111.33709717 time/batch=0.43s
38993/77903 (epoch 100.106) train_loss=114.63893127 time/batch=0.44s
38994/77903 (epoch 100.109) train_loss=88.47686768 time/batch=0.28s
38995/77903 (epoch 100.112) train_loss=335.47467041 time/batch=1.01s
38996/77903 (epoch 100.114) train_loss=187.07966614 time/batch=0.71s
38997/77903 (epoch 100.117) train_loss=312.11547852 time/batch=1.00s
38998/77903 (epoch 100.119) train_loss=137.71797180 time/batch=0.62s
38999/77903 (epoch 100.122) train_loss=96.20740509 time/batch=0.33s
Validating
    loss:	195.940862

39000/77903 (epoch 100.124) train_loss=219.19647217 time/batch=4.78s
39001/77903 (epoch 100.127) train_loss=171.65646362 time/batch=0.67s
39002/77903 (epoch 100.129) train_loss=210.42871094 time/batch=0.74s
39003/77903 (epoch 100.132) train_loss=118.24226379 time/batch=0.48s
39004/77903 (epoch 100.135) train_loss=90.37635803 time/batch=0.30s
39005/77903 (epoch 100.137) train_loss=88.73429871 time/batch=0.26s
39006/77903 (epoch 100.140) train_loss=220.63682556 time/batch=0.80s
39007/77903 (epoch 100.142) train_loss=111.70170593 time/batch=0.48s
39008/77903 (epoch 100.145) train_loss=144.44607544 time/batch=0.56s
39009/77903 (epoch 100.147) train_loss=256.29321289 time/batch=0.85s
39010/77903 (epoch 100.150) train_loss=134.34840393 time/batch=0.54s
39011/77903 (epoch 100.153) train_loss=335.02496338 time/batch=1.09s
39012/77903 (epoch 100.155) train_loss=112.37648773 time/batch=0.49s
39013/77903 (epoch 100.158) train_loss=111.72273254 time/batch=0.41s
39014/77903 (epoch 100.160) train_loss=368.27801514 time/batch=1.09s
39015/77903 (epoch 100.163) train_loss=324.37197876 time/batch=1.17s
39016/77903 (epoch 100.165) train_loss=186.76072693 time/batch=0.74s
39017/77903 (epoch 100.168) train_loss=237.41383362 time/batch=0.82s
39018/77903 (epoch 100.171) train_loss=206.18264771 time/batch=0.71s
39019/77903 (epoch 100.173) train_loss=227.24087524 time/batch=0.83s
39020/77903 (epoch 100.176) train_loss=112.73954773 time/batch=0.45s
39021/77903 (epoch 100.178) train_loss=131.20950317 time/batch=0.47s
39022/77903 (epoch 100.181) train_loss=104.72569275 time/batch=0.36s
39023/77903 (epoch 100.183) train_loss=346.89721680 time/batch=1.17s
39024/77903 (epoch 100.186) train_loss=179.31292725 time/batch=0.71s
39025/77903 (epoch 100.189) train_loss=386.19113159 time/batch=1.23s
39026/77903 (epoch 100.191) train_loss=158.14550781 time/batch=0.66s
39027/77903 (epoch 100.194) train_loss=208.13397217 time/batch=0.71s
39028/77903 (epoch 100.196) train_loss=287.67498779 time/batch=0.93s
39029/77903 (epoch 100.199) train_loss=219.95904541 time/batch=0.81s
39030/77903 (epoch 100.201) train_loss=87.26507568 time/batch=0.34s
39031/77903 (epoch 100.204) train_loss=86.40707397 time/batch=0.30s
39032/77903 (epoch 100.207) train_loss=105.53324890 time/batch=0.36s
39033/77903 (epoch 100.209) train_loss=229.72741699 time/batch=0.75s
39034/77903 (epoch 100.212) train_loss=144.53001404 time/batch=0.55s
39035/77903 (epoch 100.214) train_loss=194.44270325 time/batch=0.71s
39036/77903 (epoch 100.217) train_loss=335.25854492 time/batch=1.10s
39037/77903 (epoch 100.219) train_loss=151.09909058 time/batch=0.67s
39038/77903 (epoch 100.222) train_loss=186.34783936 time/batch=0.68s
39039/77903 (epoch 100.224) train_loss=184.89987183 time/batch=0.63s
39040/77903 (epoch 100.227) train_loss=106.54622650 time/batch=0.39s
39041/77903 (epoch 100.230) train_loss=229.15043640 time/batch=0.74s
39042/77903 (epoch 100.232) train_loss=184.47781372 time/batch=0.69s
39043/77903 (epoch 100.235) train_loss=288.06683350 time/batch=0.93s
39044/77903 (epoch 100.237) train_loss=169.15447998 time/batch=0.67s
39045/77903 (epoch 100.240) train_loss=321.46984863 time/batch=1.06s
39046/77903 (epoch 100.242) train_loss=229.77342224 time/batch=0.87s
39047/77903 (epoch 100.245) train_loss=177.36669922 time/batch=0.68s
39048/77903 (epoch 100.248) train_loss=145.63613892 time/batch=0.59s
39049/77903 (epoch 100.250) train_loss=111.38059998 time/batch=0.40s
39050/77903 (epoch 100.253) train_loss=200.53251648 time/batch=0.68s
39051/77903 (epoch 100.255) train_loss=85.98937988 time/batch=0.34s
39052/77903 (epoch 100.258) train_loss=240.97042847 time/batch=0.80s
